FID,name,source,aeroway,lat,lon
136, , ,helipad,29.643821299999999,69.075125999999997
137, , ,helipad,35.035772399999999,75.100903599999995
138, , ,helipad,35.036018100000000,75.100805500000007
139, , ,helipad,35.036977000000000,75.100124699999995
140, , ,helipad,32.515090200000003,74.528357099999994
141, , ,helipad,32.904483499999998,69.765235399999995
142, , ,helipad,32.904857200000002,69.765184899999994
143,Relief & Aid Agency pakistan, ,helipad,32.385671100000003,69.669741799999997
144, , ,helipad,26.745545700000001,69.522842400000002
145, , ,helipad,27.872226099999999,70.567907599999998
146, , ,turning_circle,30.233158100000001,67.043018500000002
147, , ,helipad,33.148618700000000,70.032131199999995
148, , ,helipad,36.085830500000000,72.542619400000007
149, , ,helipad,36.084983899999997,72.543093600000006
150, , ,helipad,31.337404500000002,74.197036999999995
151, , ,helipad,27.795593799999999,66.638536400000007
152, , ,helipad,29.001923699999999,72.854123099999995
153, , ,helipad,28.928111600000001,72.688328200000001
154, , ,helipad,30.085495300000002,73.815825799999999
155, , ,helipad,33.906272800000004,70.095221499999994
156, , ,helipad,33.906236000000000,70.094353400000003
157, , ,helipad,24.258911200000000,70.781372200000007
158, , ,helipad,36.085084899999998,72.542161199999995
159, , ,helipad,36.085307600000000,72.543098999999998
160, , ,helipad,36.085341600000000,72.542440700000000
161, , ,helipad,36.085496300000003,72.542838700000004
162, , ,helipad,36.085688099999999,72.542302899999996
163, , ,helipad,36.086241800000003,72.542900000000003
164, , ,helipad,36.086848099999997,72.544454099999996
165, , ,helipad,29.380692100000001,71.765076899999997
166, , ,helipad,28.901560799999999,64.431728399999997
167, , ,helipad,28.902038399999999,64.432052200000001
168, , ,helipad,29.538736600000000,66.024375699999993
169, , ,parking_position,28.822762900000001,62.730849599999999
170, , ,parking_position,28.822773000000002,62.730961700000002
171, , ,parking_position,28.822905800000001,62.730945300000002
172, , ,helipad,34.758312500000002,76.297802000000004
173, , ,helipad,28.804825500000000,68.066640100000001
174, , ,helipad,29.647235100000000,67.572139199999995
175, , ,helipad,34.518389300000003,71.920545500000003
176, , ,helipad,34.515529000000001,71.898287699999997
177, , ,helipad,34.515544200000001,71.898620399999999
178, , ,helipad,36.391789000000003,74.856200500000000
179, , ,helipad,36.400505799999998,74.872451299999994
180, , ,helipad,36.617354900000002,74.859462399999998
181, , ,helipad,24.847148600000001,66.787229400000001
182, , ,helipad,24.847911300000000,66.787004699999997
183, , ,helipad,24.847679400000001,66.786101599999995
184, , ,helipad,24.930307700000000,66.683058299999999
185, , ,helipad,24.947226600000000,66.721621299999995
186,Allama Iqbal International Airport,http://www.kds.com/,aerodrome,31.521222000000002,74.408780699999994
187, , ,helipad,28.365927599999999,72.160349299999993
188, , ,helipad,28.328205900000000,72.131089299999999
189, , ,helipad,28.313321800000001,72.115779099999997
190, , ,helipad,28.286074299999999,72.090716200000003
191, , ,helipad,28.252547900000000,72.041697600000006
192, , ,helipad,28.219831700000000,71.972150900000003
193, , ,helipad,25.172537599999998,66.751572499999995
194, , ,helipad,25.195316699999999,66.751051799999999
195, , ,helipad,25.192167000000001,66.748625399999995
196, , ,helipad,25.194564400000001,66.751254500000002
197, , ,helipad,25.352533800000000,66.663835199999994
198, , ,helipad,25.352233200000001,66.663352399999994
199, , ,helipad,25.351724200000000,66.664275099999998
200, , ,helipad,30.541759299999999,74.048384499999997
201, , ,helipad,25.424578700000001,65.844319700000000
202, , ,helipad,25.201754500000000,64.674547500000003
203, , ,helipad,25.188380500000001,64.636067299999993
204, , ,helipad,25.273614700000000,62.580626400000000
205, , ,helipad,25.429636700000000,65.322658899999993
206, , ,helipad,25.429479400000002,65.321636400000003
207, , ,helipad,25.430651399999999,65.322215000000000
208, , ,helipad,28.955264600000000,69.054809800000001
209, , ,helipad,25.068261400000001,61.802874199999998
210, , ,helipad,25.065704900000000,61.800838100000000
211, , ,helipad,35.356758800000001,74.806625100000005
212, , ,helipad,36.676171500000002,74.828884000000002
213, , ,helipad,36.676409700000001,74.829696600000005
214, , ,helipad,36.676534099999998,74.829323400000007
215, , ,helipad,36.676674400000003,74.828875999999994
216, , ,helipad,34.099794899999999,71.158900000000003
217, , ,helipad,34.099998499999998,71.160113899999999
218, , ,helipad,34.099095100000000,71.159325100000004
219, , ,helipad,34.099341099999997,71.160282899999999
220, , ,helipad,35.467753000000002,77.032432700000001
221, , ,helipad,34.485390299999999,75.510317900000004
222, , ,helipad,33.958190600000002,71.569925400000002
223,DG Khan Helipad, ,helipad,30.035309600000001,70.633597300000005
224, , ,helipad,25.039028099999999,67.455810400000004
