FID,Y,X,Province,School_Nam
203,30.834349152100000,67.085210689500002,Balochistan,GBPS Talari Shabaizai
204,30.770728008700001,67.007011046299993,Balochistan,GBPS Killi Nazar Muhammad Akhaizai
205,30.943046423100000,67.085050354100005,Balochistan,GBPS Mandna
206,30.957758673000001,67.080492481899995,Balochistan,GBPS Lukrah Adozai
207,30.771317778099998,67.015100590700001,Balochistan,GBPS Saddat-Ul- Malook Karaiz
208,30.705321882800000,67.121094290700000,Balochistan,GBPS Abdul Wahab Daman
209,30.738453534700000,66.951650039300006,Balochistan,GBMIDS Madrassa Ali Zai
210,30.738078757299999,66.942779025799993,Balochistan,GBHS Ali Zai
211,30.741988313600000,66.923291761700000,Balochistan,GBMIDS Samezai
212,30.747799935700002,67.003420455200001,Balochistan,GBPS Ghozi Manzari
213,30.736914828000000,66.889952772499996,Balochistan,GBMIDS Shinghari
214,30.740705815700000,66.883828038800004,Balochistan,GBPS Thangi Shakar Zai
215,30.742579342799999,66.887777897700005,Balochistan,GGPS Hajian Shakar Zai
216,30.766453113499999,67.054270155699996,Balochistan,GBPS Sheen Band
217,30.744765437200002,67.038821769600005,Balochistan,GBPS Ballah Ibrahim
218,30.736985418600000,67.024903735400002,Balochistan,GBPS Daman Ibrahim Zai
219,30.756608075900001,67.002337487800006,Balochistan,GBMIDS Manzari
220,30.598386369899998,66.947167342200004,Balochistan,GBPS Bala Kakazai
221,30.734734653000000,66.983349676200007,Balochistan,GBPS Sharo Manzari
222,30.744155509300001,66.993772865899999,Balochistan,GBPS Manzari Ibrahim Zai
223,30.734224327800000,66.880404746099998,Balochistan,GBPS Gorian
224,30.744930004699999,66.891965925099996,Balochistan,GBMIDS Hajian Shakerzai
225,30.737545651800001,66.829905451399995,Balochistan,GBHS Huramzai
226,30.727976105500002,66.851672447799999,Balochistan,GBPS Bismillah Huramzai
227,30.746286927700002,66.849212942600005,Balochistan,GBPS Hospital Gangalzai
228,30.712015521700000,66.865394337500007,Balochistan,GBPS Shinghari
229,30.722973860500002,66.868619224400007,Balochistan,GBHS Gangalzai
230,30.623000567799998,66.923681926300006,Balochistan,GGHS Hakalzai
231,30.725104654500001,66.840181140100000,Balochistan,GGHS Huramzai
232,30.662301316099999,66.905806994700001,Balochistan,GGPS Paneezai Karbala
233,30.726098282500001,66.871765070999999,Balochistan,GGPS Gangal Zai
234,30.728607964799998,66.897261258200004,Balochistan,GBPS Kakazai Saidan
235,30.735180964500000,66.906060841300004,Balochistan,GBPS Old Shakarzai
236,30.596500166900000,67.014859733400002,Balochistan,GBPS Malang Abad Pishin
237,30.768344749400001,66.922509625100005,Balochistan,GBPS Katwan
238,30.834017204399998,66.928000092299996,Balochistan,GBPS Ship Sanzal
239,30.733761527500000,66.863726017600001,Balochistan,GBMIDS Hajizai Shumali
240,30.735106849699999,66.863916524999993,Balochistan,GGMIDS Hajizai
241,30.620659083500001,66.903457708299996,Balochistan,GBMIDS Khuda-E-Dad Zai
242,30.605842789800001,66.938774169200002,Balochistan,GBPS Jadid Hakal Zai
243,30.711368023900000,66.644270213499993,Balochistan,GBPS Killi Pir Muhammad (Panizai)
244,30.729517787399999,66.660838334000005,Balochistan,GBHSS Qillah Abdullah
245,30.561443921700000,66.989159150399999,Balochistan,GGMIDS Faiz Abad
246,30.527033128500001,66.981351129299995,Balochistan,GGHS Killi Abdul Razaque
247,30.505360310200000,66.962951513400000,Balochistan,GGHS Yaroo
248,30.587147189600000,66.991000777799997,Balochistan,GGMIDS Syed Abad
249,30.605193037599999,67.548629278999996,Balochistan,GGPS Naikabad
250,30.472704628500001,66.955030376899998,Balochistan,GGMIDS Killi Mandan
251,30.542452250899998,66.988019817500003,Balochistan,GGMIDS Abdullah Jan
252,30.578348003500000,66.998383388099995,Balochistan,GGHSS Pishin
253,30.682405314899999,67.402290178800001,Balochistan,GBHS Murgha Zikriya Zai
254,30.622204051899999,67.340381070199996,Balochistan,GBHS Khanozai
255,30.682275337699998,67.380160834600005,Balochistan,GBPS Killi Haleem
