FID,fclass,name,X,Y
13433,bakery,UET Student Service Center,72.821624799999995,33.769015600000003
13434,pharmacy,Medical Stores,73.104606700000005,30.683109999999999
13435,hostel,Bilal Hall UET,72.824831500000002,33.770406000000001
13436,hostel,Ali Hall UET,72.823890500000005,33.768779000000002
13437,hostel,Iqbal Hall,72.824810499999998,33.769960099999999
13438,community_centre,Hyderabad Club,68.338534499999994,25.383998800000001
13439,college,SZABIST,68.337344700000003,25.385620299999999
13440,school,Air Foundation School System,68.337072199999994,25.385456000000001
13441,hospital,Ghani Hospital,68.337705299999996,25.385844200000001
13442,community_centre,MA Rangoon Wala Community Centre,68.340491400000005,25.387666200000002
13443,bank,Meezan Bank,68.352841699999999,25.412999899999999
13444,school,Allied School Hyderabad Campus,68.349415600000000,25.412676800000000
13445,hotel,Hotel City Gate,68.366828699999999,25.407553499999999
13446,restaurant,Midway Hill Restaurant,68.366644300000004,25.407525600000000
13447,cafe,Cafe Libya Hotel,68.366793700000002,25.406627100000001
13448,hospital,Al Quresh Hospital,68.371168699999998,25.406333300000000
13449,restaurant,Shabbir Foods,68.372171399999999,25.408475100000000
13450,school,Noble Grammar High School,68.376639699999998,25.413177300000001
13451,hotel,Gujjar Hotel,68.378000999999998,25.414505999999999
13452,restaurant,Quetta Star Hotel Hala Naka,68.378965500000007,25.417188899999999
13453,supermarket,Desi Dollar Store,74.279032799999996,31.506858699999999
13454,atm, ,73.149471199999994,33.563089599999998
13455,university,Environmental Biology Lab,73.135520000000000,33.747926100000001
13456,school,Hajvery University Euro Campus,74.358243299999998,31.504258199999999
13457,hotel,Bhitai Sweets,68.379300499999999,25.419630800000000
13458,bank,Allied Bank Ltd,68.379622600000005,25.419429399999999
13459,hotel,Abaseen Hotel,68.379718100000005,25.420708000000001
13460,restaurant,Salateen Hotel,68.379714600000000,25.420992500000001
13461,bank,MCB Bank,68.380475500000003,25.420132599999999
13462,hotel,Hotel Grand Land,68.381108999999995,25.420049500000001
13463,bank,Bank Al Habib Ltd,68.381317800000005,25.419819400000002
13464,restaurant,Breez Fish Point,68.379480999999998,25.421666999999999
13465,restaurant,Hala Naka Restaurant,68.380861300000007,25.422037799999998
13466,hotel,MaShaAllah Hamza Hotel,68.382979199999994,25.434808300000000
13467,atm, ,66.955604899999997,30.261130900000001
13468,bank,Soneri Bank ISRA University,68.382346499999997,25.434692399999999
13469,restaurant,MashaAllah Resturant,68.382394700000006,25.433948399999998
13470,fast_food,Hostel Canteen,68.382590699999994,25.436620699999999
13471,school,Foundation Public School,68.349583999999993,25.388528900000001
13472,restaurant,Mama Rind Restaurant,68.326568100000003,25.390052300000001
13473,restaurant,Lashari Hotel,68.326705099999998,25.390560700000002
13474,school,Govt Boys Primary School,68.327256199999994,25.390649300000000
13475,hotel,Baloch Hotel,68.327307599999997,25.391062800000000
13476,restaurant,Restaurant,68.328545099999999,25.391687200000000
13477,cafe,Cafe Al-Abbas Resturant,68.328946700000003,25.392360100000001
13478,fast_food,DEBAL FOODS,68.329268999999996,25.392879000000001
13479,school,St Bonaventures School,68.329796700000003,25.392997099999999
13480,fast_food,Dipper Don Pizza,68.330627899999996,25.393237599999999
13481,restaurant,Sakoon Restaurant,68.330202999999997,25.392959099999999
13482,restaurant,Bismillah Cafe And Resturant,68.330707300000000,25.393330400000000
13483,school,Beaconhouse School,68.331001499999999,25.393984300000000
13484,school,Govt. Girls High School,68.329759300000006,25.393929499999999
13485,community_centre,Yasrab Marriage Hall,68.332734099999996,25.395296399999999
13486,restaurant,Cafe Arsalan Restaurant & BBQ,68.332902200000007,25.395414500000001
13487,community_centre,Ali Palace Banquet,68.332860199999999,25.394963099999998
13488,restaurant,Anmol Restaurant,68.333569999999995,25.395570599999999
13489,supermarket,A-ONE Market,68.332710700000007,25.395730900000000
13490,car_wash,Subhan Allah Car Wash,68.334209799999996,25.396131700000002
13491,hospital,Shafay Hospital,68.334658099999999,25.396583100000001
13492,car_wash,Indus Car Wash Service,68.334868299999997,25.397190599999998
13493,bank,National Bank Of Pakistan,68.335073800000004,25.397384599999999
13494,fast_food,Broast Link Fast Food,68.335508000000004,25.397406199999999
13495,bank,Soneri Bank,68.335344899999996,25.397226700000001
13496,restaurant,Pizzeria Pizza & Restaurant,68.335443999999995,25.397357800000002
13497,bank,MCB Bank,68.335797900000003,25.397683900000001
13498,restaurant,Tasty Bites,68.335974899999997,25.398208199999999
13499,clothes,La Belle Uniforms Centre,68.335928899999999,25.398166700000001
13500,bank,Habib Bank,73.121719700000000,31.425223899999999
13501,camp_site,K2 Base Camp,76.509270999999998,35.834544600000001
13502,camp_site,Broad Peak Base Camp,76.517127099999996,35.804389600000000
13503,pharmacy,Clinic,73.049832800000004,31.437253299999998
13504,hospital,Noreen Nishat,71.916410999999997,30.306593199999998
13505,supermarket,Delton Super Market,68.336424300000004,25.398295800000000
13506,fast_food,MashaAllah Fruits Juice World,68.336534099999994,25.398824600000001
13507,bank,Allied Bank Limited,68.336917000000000,25.399137000000000
13508,fast_food,Zam Zama Fast Food Point,68.337099199999997,25.398898100000000
13509,restaurant,Nigah -e- Ali Restaurant,68.337790299999995,25.399988799999999
13510,restaurant,Oye Hoye Cyber Cafe,68.340484700000005,25.401808400000000
13511,restaurant,Cafe Sarang & Spicy Grill BBQ,68.341207299999994,25.401920799999999
13512,bakery,Memon Cakes & Bakers,68.341365199999998,25.402029700000000
13513,restaurant,Cafe Hammad Restaurant & Fast Food,68.341919200000007,25.402412300000002
13514,supermarket,NB MART,68.340609700000002,25.401875700000002
13515,college,Govt. Girls Degree College,68.345427999999998,25.404676299999998
13516,restaurant,Sindh Palari Restaurant,68.338196800000006,25.415196900000002
13517,hotel,New Salateen Hotel,68.338995299999993,25.415201100000001
13518,supermarket,Sarhandi Super Mart,68.338815499999995,25.413155300000000
