FID,fclass,name,X,Y
2308,university,"College of EME, NUST",72.959549291100004,33.621864961000000
2309,sports_centre,NUST Sports Complex,72.956626892299994,33.621258786200002
2310,pitch,ASG Ground,72.955647566200000,33.621728993900000
2311,school,APS Ground,72.959742923899995,33.621180643700001
2312,hostel,Paying Cadet Hostel,72.963128026600003,33.622925656400000
2313,park, ,72.957378093499997,33.622084253300002
2314,park, ,72.957341530799994,33.622264628300002
2315,bank,National Bank of Pakistan,72.958892967400004,33.624136033299997
2316,park, ,72.961279040299999,33.623739981999996
2317,park, ,72.961767118400005,33.623994953500002
2318,park, ,72.961846150000000,33.623654899999998
2319,pitch,Cricket Ground,74.323061143399997,31.492107253299999
2320,pitch,Cricket Ground,74.323744165700006,31.490453838600001
2321,playground,South Garden,74.328510175600002,31.479096171999998
2322,park, ,74.329465631900007,31.476811756299998
2323,park, ,74.317085218900004,31.515931139599999
2324,park, ,74.312245933300005,31.513490433299999
2325,park, ,74.312510509099994,31.510463249800001
2326,park, ,74.319395448099996,31.506448594300000
2327,hostel,ICT Hostel,72.964806799200005,33.622776331200001
2328,restaurant,Ayub Hotel,73.249410900000001,33.338788850000000
2329,restaurant,Sultania,73.120336004699993,33.224829640599999
2330,town_hall,Union Council Jatli,73.106911133599993,33.211122502000002
2331,police,Police Station Jatli,73.106213417199996,33.210092598999999
2332,bank,MCB Jatli,73.099440258200005,33.204202912699998
2333,pitch, ,66.931308971199996,24.862802414499999
2334,park,Model Town Park,74.178722645500002,32.173809117899999
2335,hospital,Shahmansoor Hospital / شامنصورھسپتال,72.454758297100000,34.081007973399998
2336,graveyard,Grave Yard,73.097143625100003,31.400483396799999
2337,college,Govt College for Women,73.097489236100003,31.398637135400001
2338,park,Gulshan Iqbal Park,74.177963046499997,32.189814516699997
2339,college,Quide-e-Azam Public College,74.183366313500002,32.188454556099998
2340,pitch, ,74.183456602400000,32.188333225400001
2341,park, ,73.090101236500004,31.399626922300001
2342,park, ,73.090536001100006,31.399306699800000
2343,park, ,73.090959474599998,31.398971768500001
2344,park, ,73.091438169400007,31.398605532400001
2345,park, ,73.091849708699996,31.398283157300000
2346,park, ,73.092280547399994,31.397965650500002
2347,park, ,73.092932310199998,31.397604777400002
2348,park, ,73.093310302299997,31.397026806800000
2349,park, ,73.094199067199995,31.396375252399999
2350,park, ,73.090813415800000,31.400016206499998
2351,park, ,73.091424415299997,31.399562319200001
2352,park, ,73.092088220899996,31.400048541800000
2353,park, ,73.092102890400000,31.399059911199998
2354,park, ,73.092746768599994,31.398594147000001
2355,park, ,73.092513304899995,31.399635735099999
2356,park, ,73.092985487099995,31.399370292099999
2357,park, ,73.093399374499995,31.399065148500000
2358,park, ,73.093835153599997,31.397529873400000
2359,park, ,73.094354131499998,31.398037126500000
2360,park, ,73.094606645200003,31.396928472999999
2361,park, ,73.094989507099996,31.397551318900000
2362,park, ,73.094930594999994,31.399557153200000
2363,park, ,73.095526489899996,31.399097377099999
2364,park, ,73.096123810899996,31.399661729799998
2365,park, ,73.096729780600000,31.399227959299999
2366,park, ,73.096169430200007,31.398618186600000
2367,park, ,73.093888839000002,31.399727740100001
2368,park, ,73.091989669599997,31.401206229200000
2369,park, ,73.092619122700000,31.400714729299999
2370,park, ,73.093262790699995,31.400205752500000
2371,park, ,73.094159820800002,31.400467559799999
2372,park, ,73.094367660499998,31.401400073000001
2373,park, ,73.093873158899996,31.401775442900000
2374,park, ,73.094797222300002,31.401061344199999
2375,park, ,73.095217314199999,31.400770846099999
2376,park, ,73.093485500800000,31.402099053800001
2377,park, ,73.092412833300003,31.401812675100000
2378,playground,DONGI Ground,73.093277394099999,31.401188105100001
2379,park, ,73.095111799400001,31.402035162099999
2380,park, ,73.095697400199995,31.401586866999999
2381,park, ,73.094426126299993,31.402529083299999
2382,school,MC Girls High School,73.088258099499996,31.400265850600000
2383,park, ,73.077683358700000,31.385920495000001
2384,park, ,73.082715515499999,31.386540054000001
2385,park, ,73.075652598900007,31.384087056799999
2386,park, ,73.077911123000007,31.382025274499998
2387,park, ,73.077772685900001,31.380215261400000
2388,park, ,73.080178089399993,31.378418615499999
2389,park, ,73.081010938299997,31.379684781900000
2390,park, ,73.082980080499993,31.378166084899998
2391,park, ,73.084049320600002,31.377354975799999
2392,park, ,73.081719875700003,31.377258072099998
2393,park, ,73.083006894299999,31.376315762299999
2394,graveyard,Grave Yard,73.079417174599996,31.376660173699999
2395,graveyard,Grave Yard,73.084908334199994,31.374391029000002
2396,graveyard,Saddiqia Grave Yard,73.092321688400006,31.390047403099999
2397,police,Beat 5,73.222519124800002,33.406719591700003
2398,park,Muslim Park,73.099933812600000,31.389298853900002
2399,park, ,73.098226442900000,31.390727252000001
2400,park, ,73.097564874599996,31.390029407899998
2401,park, ,73.098811221099993,31.390289900199999
2402,park, ,73.098129718199999,31.389612866899999
2403,park, ,73.095371599999993,31.392911738999999
2404,park, ,73.095808052899997,31.392572179999998
2405,park, ,73.096351705700002,31.392177920500000
2406,park, ,73.095662001099996,31.391488299900001
2407,park, ,73.094675522399996,31.392226144900000
2408,park, ,73.095093577000000,31.391893457199998
2409,park, ,73.096824354000006,31.391818522000001
2410,park, ,73.096151571600004,31.391146485000000
2411,post_office,Jatli Post Office,73.102176670700004,33.206299074800000
2412,police,Police Chowki Sukkho,73.155133325199998,33.267975686800000
2413,police,Police Station Dhudial,72.962644290100002,33.056423178199999
2414,police,Police Station City,72.862532141700001,32.932380806799998
2415,park, ,73.101601611500001,31.410973389599999
2416,park, ,73.103178540700000,31.412450742899999
2417,bank,Allied Bank Rawat,73.183353902600004,33.507678816599999
2418,park, ,73.105629136299996,31.416501828299999
2419,police,Motorway Police North Zone,72.938727425899998,33.630733731500001
2420,bank,National Bank Daulatala,73.139294637700004,33.188144640399997
2421,hospital,Health Centre Devi,73.048065419099999,33.202541422400003
2422,police,Highway patrol,73.190576379700005,33.109973234900004
2423,park,Liaqat Park,74.193464542000001,32.164694958200002
2424,park,City Station Park,74.185708007700001,32.176552895199997
2425,park,شیرانوالہ باغ,74.189162710700003,32.155836519499999
2426,school,Government Girls Higher School,74.176520971700000,32.161993472500001
2427,college,Government Islamia College,74.172891109800005,32.164074494899999
2428,sports_centre, ,74.187002785199994,32.145364948199997
2429,park,Shah Suleman Park,70.648889268000005,30.703162701200000
2430,school,Girls High School,70.652191477800002,30.702511303900000
2431,school,Boys High School,70.659461600699998,30.703867729999999
2432,pitch,Football Ground,70.658383394799998,30.703678885999999
2433,pitch,Cricket Ground,70.660408435999997,30.704163697799999
2434,pitch,Kabbadi Ground,70.660613756800004,30.703586708900001
2435,college,Girls College,70.659337457199996,30.702933394300000
2436,college,Govt.Boys College,70.661155019299997,30.709430801800000
2437,school,Sports ground,70.661606733900001,30.710805800100001
2438,graveyard, ,70.637809269599998,30.702362870599998
2439,graveyard, ,70.639828202900006,30.704925683300001
