FID,name,aeroway,X,Y
99, ,taxiway,71.964828100000005,34.077845799999999
100, ,taxiway,71.986943600000004,34.075586000000001
101, ,taxiway,71.980463000000000,34.082450700000003
102, ,taxiway,71.984356399999996,34.074612399999999
103, ,taxiway,71.987159000000005,34.079791000000000
104, ,taxiway,71.979548300000005,34.068970600000000
105, ,taxiway,71.976874400000000,34.072685600000000
106, ,taxiway,71.965113500000001,34.081668499999999
107, ,taxiway,71.980806000000001,34.070777499999998
108, ,taxiway,71.964999300000002,34.079944599999997
109, ,taxiway,71.972469799999999,34.082895800000003
110, ,taxiway,71.988035600000003,34.075146099999998
111, ,taxiway,71.986574099999999,34.076656600000000
112, ,taxiway,71.986081900000002,34.079727499999997
113, ,taxiway,71.979375500000003,34.068726200000000
114, ,taxiway,71.984705800000000,34.076759299999999
115, ,taxiway,71.514026799999996,34.005889600000003
116, ,runway,73.167274699999993,31.569586000000001
117, ,apron,68.797165800000002,27.712590599999999
118, ,taxiway,68.800127000000003,27.710348600000000
119, ,apron,68.800327600000003,27.711849600000001
120, ,taxiway,68.799939800000004,27.713039200000001
121, ,apron,68.797814500000001,27.712700600000002
122, ,apron,68.797380399999994,27.713293000000000
123, ,taxiway,72.990928699999998,31.358364099999999
124, ,taxiway,72.986833000000004,31.356462799999999
125, ,taxiway,73.004018900000005,31.375200199999998
126, ,taxiway,72.986702800000003,31.356308400000000
127, ,taxiway,73.003105599999998,31.376254100000001
128, ,taxiway,72.993787200000000,31.374622899999999
129, ,taxiway,72.991531100000003,31.358442700000001
130, ,taxiway,73.004427699999994,31.375679099999999
131, ,taxiway,72.997214099999994,31.373471299999999
132, ,taxiway,72.985472200000004,31.356230300000000
133, ,taxiway,72.995383599999997,31.374086500000001
134, ,taxiway,72.990225400000000,31.358272299999999
135, ,taxiway,73.002351500000003,31.371115400000001
136, ,runway,72.985860799999998,31.353926399999999
137, ,taxiway,72.992548299999996,31.374921000000001
138, ,taxiway,73.002966799999996,31.377080800000002
139, ,taxiway,73.001268999999994,31.371978700000000
140, ,taxiway,72.991080699999998,31.358383900000000
141, ,taxiway,72.989157100000000,31.359219499999998
142, ,taxiway,72.992186599999997,31.375008099999999
143, ,taxiway,73.004947599999994,31.370882500000000
144, ,taxiway,72.996897700000005,31.373577600000001
145, ,taxiway,72.985977099999999,31.356316600000000
146, ,taxiway,73.002999700000004,31.376884900000000
147, ,taxiway,72.994106000000002,31.374515800000001
148, ,taxiway,73.005163899999999,31.377966900000001
149, ,taxiway,72.998459199999999,31.373052900000001
150, ,taxiway,72.995679199999998,31.373987100000001
151, ,taxiway,73.003913299999994,31.371133499999999
152, ,taxiway,68.440452800000003,28.291116299999999
153,12/30,runway,72.416905299999996,33.861103300000003
154, ,runway,71.590695999999994,34.127017400000000
155,Murid,runway,72.762766799999994,32.917989800000001
156, ,taxiway,74.841293699999994,32.681478700000000
157, ,runway,74.082853999999998,33.773030900000002
158, ,taxiway,66.932913499999998,24.898476800000001
159, ,taxiway,66.947445200000004,24.918093800000001
160, ,taxiway,67.148385700000006,24.904894299999999
161,07L/25R,runway,67.178046600000002,24.912407399999999
162, ,taxiway,71.517857800000002,33.981931400000001
163, ,taxiway,71.518137999999993,33.986012199999998
164, ,taxiway,71.514165899999995,33.998466700000002
165, ,taxiway,71.517175100000003,33.980075499999998
166, ,taxiway,71.518201300000001,33.987585500000002
167, ,taxiway,71.517811800000004,33.981009299999997
168, ,runway,70.903622200000001,31.906166500000001
169, ,runway,76.135723100000007,34.556465400000000
170, ,taxiway,74.838153399999996,32.690362200000003
171, ,taxiway,74.840566800000005,32.689117899999999
172, ,taxiway,74.838561999999996,32.683708899999999
173, ,taxiway,74.837961300000003,32.693489100000001
174, ,taxiway,66.934661100000000,24.883512400000001
175, ,taxiway,66.960561799999994,24.891552399999998
176, ,taxiway,66.934787499999999,24.883627199999999
177, ,taxiway,66.950849000000005,24.889842500000000
178, ,taxiway,66.925964199999996,24.890218399999998
179, ,taxiway,66.932150199999995,24.891493100000002
180, ,taxiway,66.931731200000002,24.880851000000000
181, ,taxiway,66.956369400000000,24.895854100000001
182, ,runway,74.576044800000005,30.902723600000002
183, ,taxiway,71.418677200000005,30.215927900000001
184, ,taxiway,71.422711199999995,30.215575600000001
185, ,taxiway,71.415855500000006,30.191532400000000
186, ,taxiway,71.422405499999996,30.211316799999999
187, ,taxiway,71.423494399999996,30.217791399999999
188, ,taxiway,71.422552199999998,30.217066400000000
189, ,taxiway,71.418301700000001,30.216854999999999
190, ,taxiway,71.422916999999998,30.212582000000001
191, ,taxiway,71.422713000000002,30.213953700000001
192, ,runway,70.635662199999999,28.646324499999999
193, ,taxiway,67.715626099999994,26.473752999999999
194, ,runway,70.490813299999999,28.304886199999999
195, ,taxiway,70.971155400000001,30.494230699999999
196, ,taxiway,68.139218499999998,27.334331100000000
197, ,runway,66.923889299999999,30.262639300000000
198, ,taxiway,66.926431199999996,30.264636500000002
199, ,taxiway,66.926157700000005,30.265289800000001
200, ,taxiway,66.926672600000003,30.264326000000001
201, ,taxiway,66.925846500000006,30.265368500000001
202, ,taxiway,66.945196199999998,30.246172200000000
203, ,taxiway,66.945196199999998,30.246172200000000
204, ,taxiway,66.932117000000005,30.258113099999999
205, ,taxiway,66.944014400000000,30.247251299999999
206, ,taxiway,66.952184500000001,30.242288599999998
207, ,taxiway,66.933168699999996,30.251588500000000
208, ,taxiway,66.944674599999999,30.246648499999999
209, ,taxiway,66.926089399999995,30.263615699999999
210, ,taxiway,66.937486399999997,30.253211300000000
211, ,runway,70.193173200000004,29.276835699999999
212, ,taxiway,70.195246600000004,29.275482400000001
213, ,taxiway,70.192980700000007,29.276424400000000
214, ,taxiway,70.184999599999998,29.256214199999999
215, ,runway,74.526783499999993,32.512618400000001
216, ,taxiway,67.042737000000002,30.241142300000000
217, ,taxiway,67.041428100000005,30.241642800000001
218, ,runway,67.029939799999994,30.240666099999999
219, ,runway,71.242261900000003,28.443639699999999
220, ,runway,71.685618300000002,32.918394499999998
221, ,runway,70.282705500000006,28.395195300000001
222, ,runway,74.343264899999994,31.497708700000000
223, ,runway,73.357875300000003,30.756228799999999
224, ,taxiway,73.359253499999994,30.727860100000001
225, ,taxiway,73.359290999999999,30.754449600000001
226, ,taxiway,73.358392699999996,30.728609700000000
227, ,taxiway,73.358433700000006,30.753653700000001
228, ,runway,72.275748199999995,30.770417399999999
229, ,taxiway,72.153019999999998,30.084133500000000
230, ,taxiway,72.158527699999993,30.077486499999999
231, ,taxiway,72.158620299999995,30.077769499999999
232, ,runway,72.147934000000006,30.104342899999999
233, ,taxiway,72.151454500000000,30.104862900000001
234, ,taxiway,72.156038199999998,30.082331300000000
235, ,taxiway,72.157985800000006,30.078680800000001
236, ,taxiway,72.155473599999993,30.084583800000001
237, ,taxiway,72.158169099999995,30.078304800000002
238, ,taxiway,72.151304300000007,30.105447600000002
239, ,taxiway,72.151857399999997,30.099008000000001
240, ,taxiway,62.328656400000000,25.232951700000001
241, ,taxiway,68.794054299999999,27.719843099999999
242, ,taxiway,68.783360200000004,27.731395400000000
243, ,taxiway,68.792878999999999,27.721112800000000
244, ,taxiway,68.781649400000006,27.730960199999998
245, ,taxiway,68.780662300000003,27.731435300000001
246, ,taxiway,68.782133400000006,27.731397300000001
